date cases
2014-01-05 300
2014-01-12 105
2014-01-19 207
2014-01-26 294
2014-02-02 244
2014-02-09 211
2014-02-16 145
2014-02-23 147
2014-03-02 148
2014-03-09 290
2014-03-16 216
2014-03-23 129
2014-03-30 193
2014-04-06 186
2014-04-13 354
2014-04-20 211
2014-04-27 259
2014-05-04 268
2014-05-11 189
2014-05-18 212
2014-05-25 231
2014-06-01 197
2014-06-08 300
2014-06-15 276
2014-06-22 320
2014-06-29 436
2014-07-06 361
2014-07-13 452
2014-07-20 572
2014-07-27 703
2014-08-03 938
2014-08-10 1299
2014-08-17 1644
2014-08-24 1364
2014-08-31 2285
2014-09-07 2032
2014-09-14 2678
2014-09-21 2461
2014-09-28 2397
2014-10-05 2022
2014-10-12 1767
2014-10-19 1646
2014-10-26 1052
