date cases
2014-01-05 154
2014-01-12 125
2014-01-19 120
2014-01-26 116
2014-02-02 113
2014-02-09 132
2014-02-16 145
2014-02-23 182
2014-03-02 215
2014-03-09 242
2014-03-16 268
2014-03-23 300
2014-03-30 292
2014-04-06 289
2014-04-13 271
2014-04-20 308
2014-04-27 390
2014-05-04 410
2014-05-11 485
2014-05-18 492
2014-05-25 520
2014-06-01 515
2014-06-08 599
2014-06-15 719
2014-06-22 714
2014-06-29 729
2014-07-06 927
2014-07-13 1078
2014-07-20 1259
2014-07-27 1559
2014-08-03 1841
2014-08-10 2387
2014-08-17 2338
2014-08-24 2071
2014-08-31 1611
2014-09-07 1370
2014-09-14 981
2014-09-21 741
2014-09-28 511
2014-10-05 415
2014-10-12 346
2014-10-19 318
2014-10-26 311
2014-11-02 275
2014-11-09 233
2014-11-16 197
2014-11-23 165
2014-11-30 188
2014-12-07 179
2014-12-14 164
2014-12-21 191
2014-12-28 204
